x1,x2,y,
3.04769,2.89930,4.21550,
3.04497,2.89662,4.23270,
3.04581,2.90006,5.41949,
3.04598,2.89672,6.71096,
3.04263,2.89383,7.93574,
3.04399,2.89500,10.42152,
3.04365,2.89424,11.67924,
3.04536,2.89536,12.92842,
3.04083,2.89216,15.47615,
3.04468,2.89419,16.74668,
3.04332,2.89168,18.04222,
3.04282,2.88711,20.59493,
3.04556,2.88623,21.91063,
3.04213,2.87753,23.22602,
3.04410,2.86941,24.49792,
3.04494,2.84051,27.11257,
3.04384,2.82112,28.36386,
3.04339,2.80040,29.67930,
3.04553,2.77637,30.99065,
3.04422,2.71080,33.58266,
3.04458,2.66673,34.88403,



3.04339,2.34753,41.26515,
3.04302,2.22747,43.83338,
3.04162,2.19921,45.10979,
3.04328,2.17742,46.39921,
3.04193,2.16526,47.65646,


3.04318,2.15074,52.68370,
3.03888,2.14821,53.94623,
3.04309,2.14647,55.22147,
3.03992,2.14272,57.71713,


3.03872,2.13925,61.46991,
3.03867,2.13887,62.75532,
3.03309,2.14040,65.25445,
3.02945,2.14294,66.54807,
3.01577,2.15140,69.06095,
3.00364,2.15668,70.32306,

2.94827,2.22029,74.10678,
2.92563,2.26130,75.38410,
2.89716,2.31417,76.65364,
2.86539,2.37967,77.94101,

2.75249,2.58424,81.81257,
2.70565,2.63827,83.12266,

2.62335,2.72620,85.64465,







2.51300,2.89414,99.55528,
2.50651,2.89260,99.99478,
2.49686,2.89143,99.99472,
2.49725,2.89157,99.99498,
2.49773,2.89199,99.99497,
2.49830,2.89223,99.99503,
2.49827,2.89161,99.99443
